school,state,leaid,year,enrollment,freelunch,hispanic,black,asian,white,teachers,studteachratio,district,charter,title1
PUTNAM AVENUE UPPER SCHOOL,Massachusetts,2503270,2014,226,134,30,96,25,63,27.87,8.11,cambridge,No,
PUTNAM AVENUE UPPER SCHOOL,Massachusetts,2503270,2015,249,0,39,95,25,70,33.18,7.5,cambridge,No,
PUTNAM AVENUE UPPER SCHOOL,Massachusetts,2503270,2016,262,0,46,94,28,67,30.44,8.61,cambridge,No,
PUTNAM AVENUE UPPER SCHOOL,Massachusetts,2503270,2017,263,0,47,92,28,68,33.11,7.94,cambridge,No,
RINDGE AVENUE UPPER SCHOOL,Massachusetts,2503270,2013,282,109,39,87,40,102,28.88,9.76,cambridge,No,
RINDGE AVENUE UPPER SCHOOL,Massachusetts,2503270,2014,263,104,37,77,34,100,28.8,9.13,cambridge,No,
RINDGE AVENUE UPPER SCHOOL,Massachusetts,2503270,2015,269,0,33,78,32,105,29.21,9.21,cambridge,No,
RINDGE AVENUE UPPER SCHOOL,Massachusetts,2503270,2016,275,0,29,85,27,110,28.65,9.6,cambridge,No,
RINDGE AVENUE UPPER SCHOOL,Massachusetts,2503270,2017,267,0,20,78,26,120,30.17,8.85,cambridge,No,
VASSAL LANE UPPER SCHOOL,Massachusetts,2503270,2013,302,128,22,110,46,106,32.66,9.25,cambridge,No,
VASSAL LANE UPPER SCHOOL,Massachusetts,2503270,2014,286,110,25,84,43,108,34.59,8.27,cambridge,No,
VASSAL LANE UPPER SCHOOL,Massachusetts,2503270,2015,270,0,23,75,35,113,35.52,7.6,cambridge,No,
VASSAL LANE UPPER SCHOOL,Massachusetts,2503270,2016,268,0,18,70,38,118,32.77,8.18,cambridge,No,
VASSAL LANE UPPER SCHOOL,Massachusetts,2503270,2017,281,0,24,72,44,120,33.67,8.35,cambridge,No,
