school,state,leaid,year,enrollment,freelunch,hispanic,black,asian,white,teachers,studteachratio,district,charter,title1
JOHN D PHILBRICK,Massachusetts,2502790,2017,163,0,53,77,2,28,9.74,16.74,boston,No,Yes
JOHN F KENNEDY,Massachusetts,2502790,2013,400,348,300,79,3,11,21.14,18.92,boston,No,Yes
JOHN F KENNEDY,Massachusetts,2502790,2014,402,326,298,79,2,15,27.21,14.77,boston,No,Yes
JOHN F KENNEDY,Massachusetts,2502790,2015,394,0,290,78,2,15,24.14,16.32,boston,No,Yes
JOHN F KENNEDY,Massachusetts,2502790,2016,382,0,273,78,4,18,18.91,20.2,boston,No,Yes
JOHN F KENNEDY,Massachusetts,2502790,2017,392,0,281,71,7,25,26.7,14.68,boston,No,Yes
JOHN MARSHALL,Massachusetts,2502790,2013,,,,,,,,,boston,No,
JOHN W MCCORMACK,Massachusetts,2502790,2013,665,597,287,235,71,56,55.69,11.94,boston,No,Yes
JOHN W MCCORMACK,Massachusetts,2502790,2014,596,505,271,208,70,35,54.36,10.96,boston,No,Yes
JOHN W MCCORMACK,Massachusetts,2502790,2015,519,0,255,176,55,26,49.2,10.55,boston,No,Yes
JOHN W MCCORMACK,Massachusetts,2502790,2016,444,0,244,142,32,22,40.69,10.91,boston,No,Yes
JOHN W MCCORMACK,Massachusetts,2502790,2017,371,0,218,108,18,18,35.4,10.48,boston,No,Yes
JOHN WINTHROP,Massachusetts,2502790,2013,366,297,159,186,3,6,22.56,16.22,boston,No,Yes
JOHN WINTHROP,Massachusetts,2502790,2014,357,283,137,188,9,6,23.88,14.95,boston,No,Yes
JOHN WINTHROP,Massachusetts,2502790,2015,349,0,118,192,11,8,22.61,15.44,boston,No,Yes
JOHN WINTHROP,Massachusetts,2502790,2016,329,0,105,192,9,3,19.94,16.5,boston,No,Yes
JOHN WINTHROP,Massachusetts,2502790,2017,327,0,109,194,6,6,23.85,13.71,boston,No,Yes
JOSEPH J HURLEY,Massachusetts,2502790,2013,336,236,247,13,0,66,22.89,14.68,boston,No,Yes
JOSEPH J HURLEY,Massachusetts,2502790,2014,342,222,253,15,0,62,22,15.55,boston,No,Yes
JOSEPH J HURLEY,Massachusetts,2502790,2015,346,0,245,17,0,73,19.52,17.73,boston,No,Yes
JOSEPH J HURLEY,Massachusetts,2502790,2016,353,0,256,22,2,64,20.04,17.61,boston,No,Yes
JOSEPH J HURLEY,Massachusetts,2502790,2017,360,0,248,25,4,73,24,15,boston,No,Yes
JOSEPH LEE,Massachusetts,2502790,2013,592,497,174,329,43,18,42.02,14.09,boston,No,Yes
JOSEPH LEE,Massachusetts,2502790,2014,649,512,176,378,46,23,44.95,14.44,boston,No,Yes
JOSEPH LEE,Massachusetts,2502790,2015,629,0,170,352,44,32,46.37,13.56,boston,No,Yes
JOSEPH LEE,Massachusetts,2502790,2016,639,0,184,341,40,40,48.17,13.27,boston,No,Yes
JOSEPH LEE,Massachusetts,2502790,2017,661,0,183,362,38,36,53.31,12.4,boston,No,Yes
JOSEPH P MANNING,Massachusetts,2502790,2013,159,68,36,31,6,71,10.55,15.07,boston,No,Yes
JOSEPH P MANNING,Massachusetts,2502790,2014,157,60,40,32,4,69,15.43,10.17,boston,No,Yes
JOSEPH P MANNING,Massachusetts,2502790,2015,162,0,44,34,8,65,14.67,11.04,boston,No,Yes
JOSEPH P MANNING,Massachusetts,2502790,2016,158,0,44,30,6,65,12.38,12.76,boston,No,Yes
JOSEPH P MANNING,Massachusetts,2502790,2017,152,0,41,31,6,61,12.87,11.81,boston,No,Yes
JOSEPH P TYNAN,Massachusetts,2502790,2013,394,330,94,166,32,85,28.64,13.76,boston,No,Yes
JOSEPH P TYNAN,Massachusetts,2502790,2014,402,330,108,165,30,85,34.37,11.7,boston,No,Yes
JOSEPH P TYNAN,Massachusetts,2502790,2015,342,0,88,128,28,78,30.65,11.16,boston,No,Yes
JOSEPH P TYNAN,Massachusetts,2502790,2016,268,0,74,105,22,50,23,11.65,boston,No,Yes
JOSEPH P TYNAN,Massachusetts,2502790,2017,233,0,63,91,22,47,25.1,9.28,boston,No,Yes
JOSIAH QUINCY,Massachusetts,2502790,2013,802,608,124,130,455,63,51.65,15.53,boston,No,Yes
JOSIAH QUINCY,Massachusetts,2502790,2014,789,566,123,131,445,62,58.48,13.49,boston,No,Yes
JOSIAH QUINCY,Massachusetts,2502790,2015,796,0,106,143,446,68,57.39,13.87,boston,No,Yes
JOSIAH QUINCY,Massachusetts,2502790,2016,854,0,115,134,488,83,58.1,14.7,boston,No,Yes
JOSIAH QUINCY,Massachusetts,2502790,2017,832,0,101,122,487,90,58.98,14.11,boston,No,Yes
JOYCE KILMER,Massachusetts,2502790,2013,470,160,80,46,32,284,32.42,14.5,boston,No,Yes
JOYCE KILMER,Massachusetts,2502790,2014,456,140,74,44,35,275,29.76,15.32,boston,No,Yes
JOYCE KILMER,Massachusetts,2502790,2015,438,0,79,51,31,253,30.93,14.16,boston,No,Yes
JOYCE KILMER,Massachusetts,2502790,2016,435,0,76,59,38,239,25.63,16.97,boston,No,Yes
JOYCE KILMER,Massachusetts,2502790,2017,466,0,91,71,40,239,29.87,15.6,boston,No,Yes
KING K-8,Massachusetts,2502790,2013,504,443,153,317,4,6,35.84,14.06,boston,No,Yes
KING K-8,Massachusetts,2502790,2014,495,410,154,304,4,7,33.15,14.93,boston,No,Yes
KING K-8,Massachusetts,2502790,2015,497,0,161,303,4,6,31.54,15.76,boston,No,Yes
KING K-8,Massachusetts,2502790,2016,490,0,147,310,4,6,33.52,14.62,boston,No,Yes
KING K-8,Massachusetts,2502790,2017,487,0,152,298,3,14,35.57,13.69,boston,No,Yes
LEE ACADEMY,Massachusetts,2502790,2013,164,133,43,103,7,6,18,9.11,boston,No,Yes
LEE ACADEMY,Massachusetts,2502790,2014,212,156,52,127,14,6,14.96,14.17,boston,No,Yes
LEE ACADEMY,Massachusetts,2502790,2015,196,0,44,108,21,12,13.96,14.04,boston,No,Yes
LEE ACADEMY,Massachusetts,2502790,2016,187,0,46,105,13,12,15.14,12.35,boston,No,Yes
LEE ACADEMY,Massachusetts,2502790,2017,223,0,62,117,17,14,17.87,12.48,boston,No,Yes
LILLA G. FREDERICK MIDDLE SCHOOL,Massachusetts,2502790,2013,570,497,249,273,12,18,52.69,10.82,boston,No,Yes
LILLA G. FREDERICK MIDDLE SCHOOL,Massachusetts,2502790,2014,552,436,251,261,19,7,42.23,13.07,boston,No,Yes
LILLA G. FREDERICK MIDDLE SCHOOL,Massachusetts,2502790,2015,472,0,189,228,34,9,40.82,11.56,boston,No,Yes
LILLA G. FREDERICK MIDDLE SCHOOL,Massachusetts,2502790,2016,519,0,211,238,48,7,34.71,14.95,boston,No,Yes
LILLA G. FREDERICK MIDDLE SCHOOL,Massachusetts,2502790,2017,494,0,217,218,39,5,48,10.29,boston,No,Yes
LYNDON,Massachusetts,2502790,2013,561,280,266,39,9,239,36.16,15.51,boston,No,Yes
LYNDON,Massachusetts,2502790,2014,550,233,231,40,5,263,39.85,13.8,boston,No,Yes
LYNDON,Massachusetts,2502790,2015,552,0,202,41,9,287,38.29,14.42,boston,No,Yes
LYNDON,Massachusetts,2502790,2016,582,0,192,51,12,311,36.67,15.87,boston,No,Yes
LYNDON,Massachusetts,2502790,2017,582,0,172,52,13,323,40.05,14.53,boston,No,Yes
